ID,TrieuChung,ChuanDoan,ChuyenKhoa,LoiKhuyen
29,"Tức ngực, khó thở, mệt mỏi, suy nhược, Thân nhiệt cao. Cơ thể tiết ra nhiều mồ hôi.","Viêm phổi","Hô hấp - phổi","Viêm phổi là một tình trạng viêm nhiễm trong các phần phổi. Đây là một bệnh nghiêm trọng và đòi hỏi sự can thiệp và điều trị từ bác sĩ. Dưới đây là một số lời khuyên chung liên quan đến viêm phổi:
Điều trị theo hướng dẫn của bác sĩ: Nếu bạn được chẩn đoán mắc viêm phổi, hãy tuân thủ chế độ điều trị và uống thuốc theo hướng dẫn của bác sĩ. Điều này bao gồm sử dụng kháng sinh hoặc thuốc kháng vi khuẩn để tiêu diệt tác nhân gây viêm.
Nghỉ ngơi và tạo điều kiện cho cơ thể hồi phục: Nghỉ ngơi đủ giấc và tránh làm việc vất vả để giúp cơ thể có thời gian để đấu tranh chống lại viêm nhiễm và phục hồi.
Uống đủ nước: Đảm bảo cung cấp đủ lượng nước cho cơ thể để giữ cho đường hô hấp ẩm và giúp làm mỏng chất nhầy trong phổi, làm dễ dàng cho quá trình ho và tự làm sạch.
"
30," đỏ mắt, đau, cảm giác như có dị vật trong mắt, đau nhức, nhạy cảm với ánh sáng chói và tăng tiết nước mắt. Vết loét thường xuất hiện dưới dạng một đốm trắng hoặc mờ và xám trên giác mạc. Đôi khi, vết loét phát triển trên toàn bộ giác mạc và có thể ăn sâu. Mủ có thể tích tụ phía sau giác mạc, đôi khi tạo thành một lớp trắng ở đáy giác mạc (gọi là mủ tiền phòng). Kết mạc thường đỏ ngầu. Vết loét càng sâu thì các triệu chứng và biến chứng càng nặng.","Viêm loét giác mạc ","Chuyên khoa mắt","Loét giác mạc là một trường hợp khẩn cấp cần được điều trị ngay lập tức.
Thuốc nhỏ mắt kháng sinh, kháng vi rút hoặc kháng nấm thường cần thiết ngay lập tức và phải được dùng thường xuyên, đôi khi hàng giờ liên tục trong vài ngày.
Thuốc nhỏ làm giãn mắt, chẳng hạn như atropine hoặc scopolamine, có thể giúp giảm đau và giảm nguy cơ biến chứng.
Ghép giác mạc"
31,"đi tiểu liên tục, không kiểm soát được cơn mắc tiểu","Tiểu không tự chủ","Thận - tiết niệu","Chứng tiểu không tự chủ hoàn toàn có thể chủ động phòng ngừa bằng cách thay đổi thói quen sinh hoạt, ăn uống và tập luyện tích cực. Một số giải pháp hữu ích có thể tham khảo như:

Duy trì mức cân nặng hợp lý.
Thực hành một số bài tập sàn chậu có lợi.
Tránh sử dụng các chất kích thích bàng quang, chẳng hạn như: caffeine, rượu bia, thực phẩm có tính axit…
Xây dựng thực đơn giàu thành phần chất xơ để ngăn ngừa táo bón.
Không hút thuốc.
Điều trị dứt điểm các bệnh lý liên quan đến bàng quang, nhiễm trùng đường tiết niệu"
32,"Đau, tức bụng trên Cổ chướng Vàng da Vàng mắt​ Buồn nôn, nôn mửa Ăn mất ngon, cảm thấy no dù chỉ ăn một lượng thức ăn nhỏ Mệt mỏi Giảm cân không rõ lý do.","Ung Thư Gan","Ung bướu","Tiêm phòng đầy đủ vaccine phòng viêm gan B. - Hạn chế hoặc bỏ bia, rượu, thuốc lá, đặc biệt đối với những bệnh nhân có xơ gan, viêm gan virus. - Không dùng thuốc bừa bãi, đặc biệt thuốc chưa rõ nguồn gốc mà không tham khảo ý kiến bác sĩ"
33,"Ho khan dai dẳng uống thuốc không khỏi (đây là triệu chứng phổ biến nhất của ung thư phổi giai đoạn đầu) Ho có đờm lẫn máu Nhiễm trùng đường hô hấp tái phát nhiều lần Thường xuyên đau ngực, đau dai dẳng Khi khối u to hơn, chèn ép đường hô hấp sẽ có biểu hiện khó thở, khò khè, khàn tiếng, khó nuốt, nuốt đau Sụt cân không rõ lý do Suy nhược và mệt mỏi.","Ung Thư Phổi","Ung bướu","Theo các chuyên gia y tế, thuốc lá và các thức uống có cồn như rượu, bia,... là “thủ phạm chính” gây ra bệnh ung thư phổi. Vì vậy, bệnh nhân ung thư phổi trong quá trình điều trị bệnh phải tuyệt đối không hút thuốc lá cũng như sử dụng các chất có cồn."
34,"Dột ngột sốt cao, người mệt mỏi rũ rượi, nhức đầu, đau sau hốc mắt, đau cơ (đau thắt lưng và đôi khi đau chân), thường kèm theo đau họng, buồn nôn, nôn mửa, đau vùng thượng vị và tiêu chảy","Sốt Xuất Huyết","Truyền nhiễm","Để chủ động phòng bệnh sốt xuất huyết cần phải thực hiện các nguyên tắc sau: - Cần mặc áo dài tay, quần dài, mang tất, giày. - Đi ngủ mắc màn cả ngày lẫn đêm, phát quang bụi rậm, cây cỏ, khơi thông cống rãnh xung quanh nhà, dùng vợt diệt muỗi,"
35,"Ho , sốt, đau đầu, chảy mũi, nhứt cơ thể, khó thở, tiêu chảy, nôn, mất khứu giác, mất vị giác","Covid 19","Truyền nhiễm","hòng cách ly: Phòng riêng, thông thoáng, có cửa sổ, khu vực vệ sinh riêng (chỉ sử dụng quạt trong phòng, không nên dùng điều hoà). 
Vật dụng cơ bản: Đồ dùng vệ sinh cá nhân, thùng rác riêng, quạt máy, bình đun nước siêu tốc, khẩu trang, găng tay, bát đũa, bột giặt... 
Thuốc: Hạ sốt, tiêu hoá, dạ dày, tiêu chảy, chữa đau họng, dầu xoa, oresol, nước muối súc miệng, xịt mũi, các loại tăng sức đề kháng nhất là vitamin C, vitamin D3.  
Thiết bị y tế: Nhiệt kế, máy đo huyết áp, máy đo oxy trong máu (không bắt buộc). "
36,"hi, hello, chao, xin chao, hiii, hellooo, xin chào, chào",,TuVan,"Xin chào! Tôi là chatbot tư vấn sức khỏe. Bạn cần tôi giúp gì?"
37,"Ho , sốt, đau đầu, chảy mũi, nhứt cơ thể, khó thở, tiêu chảy, nôn, mất khứu giác, mất vị giács","Covid 19","Truyền nhiễm","hòng cách ly: Phòng riêng, thông thoáng, có cửa sổ, khu vực vệ sinh riêng (chỉ sử dụng quạt trong phòng, không nên dùng điều hoà). 
Vật dụng cơ bản: Đồ dùng vệ sinh cá nhân, thùng rác riêng, quạt máy, bình đun nước siêu tốc, khẩu trang, găng tay, bát đũa, bột giặt... 
Thuốc: Hạ sốt, tiêu hoá, dạ dày, tiêu chảy, chữa đau họng, dầu xoa, oresol, nước muối súc miệng, xịt mũi, các loại tăng sức đề kháng nhất là vitamin C, vitamin D3.  
Thiết bị y tế: Nhiệt kế, máy đo huyết áp, máy đo oxy trong máu (không bắt buộc)."
38,"tôi muốn đặt lịch hẹn, đặt lịch ,cách đặt lịch, Các bước đặt lịch hẹn, làm sao để đặt lịch hẹn, đặt lịch hẹn, hưỡng dẫn đặt lịch hẹn, dặt lịch hẹn như thế nào",,TuVan,"Để đặt lịch khám trên LHealthy-Eday, bạn cần thực hiện theo các bước sau:
1. Truy cập vào website và đăng nhập hoặc đăng ký.
2. Tìm kiếm phòng khám hoặc bác sĩ mà bạn muốn đặt lịch khám.
3. Chọn dịch vụ khám bệnh hoặc bác sĩ cụ thể.
4. Chọn thời gian khám phù hợp với lịch trình của bạn.
5. Điền thông tin cần thiết.
6. Xác nhận thông tin và hoàn tất quá trình đặt lịch.
Sau khi đặt lịch thành công, bạn sẽ nhận được thông tin xác nhận lịch khám qua email hoặc tin nhắn."""
39,"Ho , sốt, đau đầu, chảy mũi, nhứt cơ thể, khó thở, tiêu chảy, nôn, mất khứu giác, mất vị giác","Covid 19","Truyền nhiễm","hòng cách ly: Phòng riêng, thông thoáng, có cửa sổ, khu vực vệ sinh riêng (chỉ sử dụng quạt trong phòng, không nên dùng điều hoà). 
Vật dụng cơ bản: Đồ dùng vệ sinh cá nhân, thùng rác riêng, quạt máy, bình đun nước siêu tốc, khẩu trang, găng tay, bát đũa, bột giặt... 
Thuốc: Hạ sốt, tiêu hoá, dạ dày, tiêu chảy, chữa đau họng, dầu xoa, oresol, nước muối súc miệng, xịt mũi, các loại tăng sức đề kháng nhất là vitamin C, vitamin D3.  
Thiết bị y tế: Nhiệt kế, máy đo huyết áp, máy đo oxy trong máu (không bắt buộc)."
40,"Tôi cần được gợi ý về thuốc ho hiệu quả, tôi bị ho, tôi đang bị ho",,TuVan,"Tôi không thể cung cấp thông tin về thuốc ho cụ thể mà không có sự tư vấn y tế chuyên nghiệp. Một số loại thuốc ho thông thường có thể được sử dụng là các loại siro ho không chứa codeine, thuốc giảm ho có chất gây tê hoặc các loại thuốc chống viêm không steroid (NSAIDs) như ibuprofen. Tuy nhiên, tôi khuyên bạn nên tham khảo ý kiến của bác sĩ hoặc nhà dược để được tư vấn và chọn lựa loại thuốc phù hợp với tình trạng sức khỏe và triệu chứng ho của bạn."
41,"Ho , sốt, đau đầu, chảy mũi, nhứt cơ thể, khó thở, tiêu chảy, nôn, mất khứu giác, mất vị giác12","Covid 19","Truyền nhiễm","hòng cách ly: Phòng riêng, thông thoáng, có cửa sổ, khu vực vệ sinh riêng (chỉ sử dụng quạt trong phòng, không nên dùng điều hoà). 
Vật dụng cơ bản: Đồ dùng vệ sinh cá nhân, thùng rác riêng, quạt máy, bình đun nước siêu tốc, khẩu trang, găng tay, bát đũa, bột giặt... 
Thuốc: Hạ sốt, tiêu hoá, dạ dày, tiêu chảy, chữa đau họng, dầu xoa, oresol, nước muối súc miệng, xịt mũi, các loại tăng sức đề kháng nhất là vitamin C, vitamin D3.  
Thiết bị y tế: Nhiệt kế, máy đo huyết áp, máy đo oxy trong máu (không bắt buộc)."
42,"trị mụn, tôi muốn trị mụn, cách trị mụn tại nhà",,TuVan,"Trị mụn bao gồm nhiều phương pháp, trong đó thuốc trị mụn có thể được sử dụng như một phần trong quá trình điều trị. Tuy nhiên, tôi muốn nhấn mạnh rằng tư vấn và chỉ định thuốc trị mụn cần dựa trên đánh giá cá nhân từ một bác sĩ da liễu hoặc chuyên gia chăm sóc da. "
43,"Ho , sốt, đau đầu, chảy mũi, nhứt cơ thể, khó thở, tiêu chảy, nôn, mất khứu giác, mất vị giác","Covid 19","Truyền nhiễm","hòng cách ly: Phòng riêng, thông thoáng, có cửa sổ, khu vực vệ sinh riêng (chỉ sử dụng quạt trong phòng, không nên dùng điều hoà). 
Vật dụng cơ bản: Đồ dùng vệ sinh cá nhân, thùng rác riêng, quạt máy, bình đun nước siêu tốc, khẩu trang, găng tay, bát đũa, bột giặt... 
Thuốc: Hạ sốt, tiêu hoá, dạ dày, tiêu chảy, chữa đau họng, dầu xoa, oresol, nước muối súc miệng, xịt mũi, các loại tăng sức đề kháng nhất là vitamin C, vitamin D3.  
Thiết bị y tế: Nhiệt kế, máy đo huyết áp, máy đo oxy trong máu (không bắt buộc)."
44,"làm thế nào để điều trị cảm cúm, tôi đang bị cảm cúm",,TuVan,"Để điều trị cảm cúm, bạn có thể áp dụng các biện pháp sau:
Nghỉ ngơi và cho cơ thể hồi phục.
Uống đủ nước để giữ ẩm và giúp đường hô hấp thông thoáng.
Sử dụng thuốc giảm triệu chứng như giảm đau, hạ sốt và giảm tắc mũi.
Hít hơi nóng hoặc hơi muối để giảm tắc nghẽn và làm dịu triệu chứng.
Bổ sung dinh dưỡng và tăng cường hệ miễn dịch.
Tránh tiếp xúc gần với người khác để tránh lây nhiễm."
45,"cách chữa bệnh tiểu đường là gì, tôi đang bị tiểu đường",,TuVan,"Để chữa trị bệnh tiểu đường, bạn có thể áp dụng các biện pháp sau:
Thay đổi lối sống: Ăn một chế độ ăn lành mạnh, tập thể dục đều đặn, giảm cân (nếu cần) và kiểm soát căng thẳng.
Sử dụng thuốc điều trị: Có thể sử dụng thuốc đường tiêu đường như metformin, insulin hoặc các loại thuốc khác do bác sĩ kê đơn.
Theo dõi đường huyết: Đo đường huyết thường xuyên và tuân thủ theo hướng dẫn của bác sĩ.
Chăm sóc sức khỏe định kỳ: Đi khám định kỳ để theo dõi tình trạng tiểu đường và điều chỉnh liệu pháp điều trị nếu cần.
Lưu ý rằng điều trị tiểu đường là một quá trình lâu dài và cần sự hỗ trợ và theo dõi của bác sĩ chuyên khoa."
46,"Tôi đang bị viêm họng, cách trị bệnh viêm họng, tôi bị viêm họng",,TuVan,"Để trị viêm họng:
Hạ sốt và giảm đau bằng thuốc giảm đau như paracetamol hoặc ibuprofen.
Gargle nước muối sinh lý để làm giảm sưng viêm và giảm khó chịu.
Uống nhiều nước ấm và chất lỏng để giữ họng ẩm.
Nghỉ ngơi và tránh vận động quá mức để cho cơ thể phục hồi.
Hạn chế tiếp xúc với chất kích thích như thuốc lá và cồn.
Sử dụng máy tạo ẩm hoặc đặt bát nước trong phòng để giữ cho không khí ẩm."
47,"điều trị nám da như thế nào, cách điều trị nám da, tôi đang bị nám da",,TuVan,"Sử dụng kem chống nắng hàng ngày với SPF cao để bảo vệ da khỏi tác động của tia UV.
Tránh tiếp xúc trực tiếp với ánh nắng mặt trời vào giờ cao điểm.
Sử dụng các sản phẩm làm sáng da chứa axit glycolic, axit kojic và vitamin C.
Đảm bảo chế độ ăn uống lành mạnh và giàu chất chống oxy hóa."
48,"tôi bị cảm, tôi bị sốt, cách hạ sốt tại nhà, lam thế nào để hạ sốt",,TuVan,"Để hạ sốt tại nhà, bạn có thể thử những biện pháp sau:
Uống nhiều nước để giữ cơ thể được cân bằng và tránh tình trạng mất nước.
Sử dụng bình nguội hoặc khăn ướt để lau người để giảm nhiệt độ cơ thể.
Sử dụng thuốc hạ sốt như paracetamol (acetaminophen) theo hướng dẫn sử dụng.
Nghỉ ngơi đủ để cho cơ thể hồi phục.
Nếu tình trạng sốt kéo dài hoặc có triệu chứng nghiêm trọng, hãy tham khảo ý kiến của bác sĩ."
49,"tôi bị viêm xoang, cách trị xoang, tôi bị xoang, tôi đang bị viêm xoang",,TuVan,"Để điều trị viêm xoang tại nhà, bạn có thể thử những biện pháp sau:
Rửa mũi bằng nước muối sinh lý để giảm tắc nghẽn và loại bỏ chất nhầy trong xoang.
Sử dụng thuốc giảm đau và chống viêm như paracetamol hoặc ibuprofen để giảm triệu chứng nhức đầu và đau xoang.
Áp dụng nhiệt đới để giảm viêm và tăng tuần hoàn máu trong vùng xoang. Bạn có thể dùng khăn ướt nóng hoặc bình nước nóng để đặt lên vùng xoang.
Uống đủ nước để duy trì độ ẩm và giúp loại bỏ chất nhầy trong xoang.
Hạn chế tiếp xúc với các chất kích thích như hóa chất, khói, bụi, hoặc dịch tiết động vật có thể gây kích ứng và làm tăng viêm trong xoang."
50,"tôi bị tiểu dường, cách trị tiểu đường, ngừa bệnh tiểu đường, bị tiểu đường thì phải làm sao",,TuVan,"Để trị tiểu đường và ngăn ngừa bệnh tiểu đường, bạn có thể thực hiện những biện pháp sau:
Tuân thủ chế độ ăn uống lành mạnh, giàu chất xơ và chất dinh dưỡng, giảm tiêu thụ đường và tinh bột.
Tập thể dục đều đặn và kiểm soát cân nặng để cải thiện quản lý đường huyết và sức khỏe tổng quát.
Sử dụng thuốc theo chỉ định của bác sĩ để kiểm soát đường huyết.
Thực hiện kiểm tra định kỳ đường huyết và theo dõi các chỉ số sức khỏe khác.
Hạn chế tiếp xúc với các yếu tố nguy cơ và tư vấn với bác sĩ về các biện pháp bảo vệ sức khỏe riêng của bạn."
51,"tôi đang bị bệnh, tôi đang mắc bệnh",,TuVan,"Xin vui lòng cho biết triệu chứng bạn đang gặp phải."
52,"Tôi bị rối loạn tiền đình và chóng mặt, tôi bị rối loạn tiền đình",,TuVan,"Để trị rối loạn tiền đình và chóng mặt, bạn có thể:
Tìm hiểu nguyên nhân chính gây ra triệu chứng và tìm hiểu các biện pháp điều trị hoặc giảm triệu chứng.
Tham khảo ý kiến ​​bác sĩ để được đánh giá và chẩn đoán chính xác, sau đó tuân thủ liệu pháp điều trị được chỉ định bởi bác sĩ.
Thực hiện các bài tập vận động nhẹ nhàng và duy trì lối sống lành mạnh để cải thiện sự ổn định và sức khỏe tổng thể.
Hạn chế tiếp xúc với các tác nhân gây kích ứng như ánh sáng chói, tiếng ồn, hoặc các loại thức ăn và đồ uống có thể gây chóng mặt.
Tránh thay đổi vị trí cơ thể quá nhanh và đứng lên từ tư thế nằm hay ngồi lâu.
Nếu cần thiết, bác sĩ có thể đề xuất sử dụng thuốc hoặc liệu pháp điều trị khác để giảm triệu chứng và cải thiện chất lượng cuộc sống."
53," Làm thế nào để điều trị stress và lo âu, cách điều trị tress tại nhà, cách giảm stress, tôi đang bị áp lực",,TuVan,"Để điều trị stress và lo âu tại nhà, bạn có thể:
1.Thực hiện kỹ thuật thư giãn như thở sâu, thiền định hoặc yoga.
2.Tập thể dục đều đặn để giảm căng thẳng và tăng cường sức khỏe tâm lý.
3.Xây dựng một lịch trình hợp lý và ổn định để quản lý thời gian và công việc.
4.Tìm hiểu các kỹ năng quản lý stress, như đặt mục tiêu, ưu tiên công việc và nghỉ ngơi đủ.
5.Hỗ trợ bản thân bằng việc thực hiện các hoạt động thú vị và thú vị, như đọc sách, nghe nhạc, hoặc gặp gỡ bạn bè.
Tuy nhiên, nếu tình trạng stress và lo âu của bạn trở nên nghiêm trọng hoặc kéo dài, hãy tìm kiếm sự tư vấn và hỗ trợ từ một chuyên gia sức khỏe tâm thần hoặc bác sĩ."
54," Làm thế nào để điều trị bệnh mất ngủ, phương pháp điều trị mất ngủ tại nhà, tôi bị mất ngủ, ",,TuVan,"Để điều trị mất ngủ tại nhà, bạn có thể:
Thiết lập một ràng buộc giờ ngủ đều đặn và tuân thủ nó.
Tạo một môi trường ngủ thoải mái, yên tĩnh và mát mẻ.
Tránh uống các loại thức uống chứa caffeine và tránh tác động của ánh sáng mạnh trước khi đi ngủ.
Thực hiện kỹ thuật thư giãn trước khi đi ngủ, ví dụ như thực hành thở sâu hoặc yoga.
Hạn chế hoạt động kích thích và căng thẳng trước giờ đi ngủ.
Nếu tình trạng mất ngủ kéo dài hoặc trở nên nghiêm trọng, hãy tìm sự tư vấn và hỗ trợ từ một chuyên gia y tế."
55,"Tôi đang bị Covid, tôi là F0",,TuVan,"Oh, tôi rất tiếc khi nghe bạn đã bị nhiễm COVID-19 và là một trường hợp F0. Điều quan trọng là bạn phải ngay lập tức thực hiện các biện pháp để bảo vệ sức khỏe của mình và những người xung quanh. Dưới đây là một số bước bạn nên cân nhắc:
Cách ly bản thân: Ở nhà và tránh tiếp xúc với người khác để ngăn chặn sự lây lan của virus. Nếu có thể, hãy chỉ định một phòng riêng và phòng tắm riêng cho mình để giảm thiểu tiếp xúc với các thành viên khác trong gia đình.
Thông báo cho cơ quan y tế: Liên hệ với cơ quan y tế hoặc các đơn vị chính phủ để báo cáo về trạng thái của bạn. Họ sẽ cung cấp hướng dẫn cụ thể về việc kiểm tra, điều trị và theo dõi sức khỏe của bạn.
Theo dõi triệu chứng: Ghi lại các triệu chứng và theo dõi sự tiến triển của bệnh. Nếu triệu chứng trở nên nặng nề hoặc bạn gặp khó khăn trong việc thở, hãy liên hệ với cơ quan y tế ngay lập tức.
Tuân thủ các biện pháp phòng ngừa: Đảm bảo tuân thủ các biện pháp phòng ngừa như đeo khẩu trang, rửa tay thường xuyên, giữ khoảng cách xã hội và hạn chế tiếp xúc với người khác.
Hỗ trợ tâm lý: Đối mặt với COVID-19 có thể gây căng thẳng tâm lý. Hãy tìm cách duy trì tinh thần lạc quan và tìm nguồn hỗ trợ từ gia đình, bạn bè hoặc các dịch vụ tâm lý chuyên nghiệp."
56,"Biện pháp cách ly covid 19",,TuVan,"Để cách ly COVID-19, có một số biện pháp quan trọng mà bạn nên tuân thủ:
Tách riêng bản thân: Ở trong một phòng riêng, đóng cửa để tránh tiếp xúc với người khác trong gia đình hoặc trong cộng đồng. Nếu có thể, sử dụng phòng tắm riêng để tránh chia sẻ với người khác.
Đeo khẩu trang: Khi bạn cần tiếp xúc với người khác hoặc di chuyển trong không gian chung, hãy đảm bảo đeo khẩu trang một cách đúng cách. Điều này giúp giảm nguy cơ lây nhiễm cho người khác.
Rửa tay thường xuyên: Rửa tay bằng xà phòng và nước sạch trong ít nhất 20 giây. Nếu không có xà phòng và nước, sử dụng nước rửa tay có cồn với nồng độ ít nhất 60% cồn.
Giữ khoảng cách xã hội: Hãy duy trì khoảng cách ít nhất 2 mét (6 feet) với người khác, đặc biệt là khi tiếp xúc với những người không cùng gia đình với bạn.
Hạn chế tiếp xúc với người khác: Tránh gặp gỡ và tiếp xúc gần gũi với người khác, bao gồm cả gia đình, bạn bè và người láng giềng. Nếu cần thiết, sử dụng các phương tiện truyền thông từ xa như điện thoại, email hoặc video call để giữ liên lạc.
Khám bệnh và tuân thủ hướng dẫn y tế: Liên hệ với cơ quan y tế hoặc các đơn vị chính phủ để báo cáo về trạng thái của bạn và tuân thủ các hướng dẫn và chỉ đạo y tế của họ.
Quản lý chăm sóc sức khỏe: Theo dõi triệu chứng của bạn và liên hệ với cơ quan y tế nếu có bất kỳ triệu chứng nào trở nên nghiêm trọng hoặc không ổn định.
Hỗ trợ tâm lý: Đối mặt với cách ly và bệnh tật có thể gây căng thẳng tâm lý. Tìm cách giữ cho tinh thần lạc quan và tìm nguồn hỗ trợ từ gia đình, bạn bè, hoặc các dịch vụ hỗ trợ tâm lý."
57,"phòng ngừa covid 19",,TuVan,"Để phòng ngừa COVID-19, hãy tuân thủ các biện pháp sau đây:
Đeo khẩu trang: Đeo khẩu trang khi tiếp xúc với người khác, đặc biệt trong các nơi công cộng, trong phương tiện giao thông công cộng và khi không thể duy trì khoảng cách xã hội.
Rửa tay thường xuyên: Rửa tay bằng xà phòng và nước sạch trong ít nhất 20 giây hoặc sử dụng nước rửa tay có cồn khi không có xà phòng và nước.
Giữ khoảng cách xã hội: Duy trì khoảng cách ít nhất 2 mét (6 feet) với người khác, đặc biệt khi trong các nơi công cộng.
Tránh tiếp xúc gần: Hạn chế tiếp xúc gần gũi với người khác, đặc biệt với những người có triệu chứng ho ho, sốt hoặc khó thở.
Tránh chạm mặt: Tránh chạm vào mắt, mũi và miệng, vì đây là các cửa ngõ tiềm năng để virus xâm nhập vào cơ thể.
"
58,"tôi bị rắn cắn, tôi đang bị rắn cắn, bị rắn cắn",,TuVan,"Bị con này cắn thì nhanh bạn hãy lấy đậu nành pha tý đường ngồi nghỉ ngơi tý có mấy anh đội hàm xuống khiên, con này cắn thì cùng lắm thì khóc xíu còn lại người nhà bạn khóc, nói chứ còn này cắn cũng nhẹ chỉ có nặng cho mấy anh khiên hàm."
